"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1790004074730963368","Mon May 13 13:00:02 +0000 2024","0","Lagian anjir lu ga monitor dulu apa itu si macan brazil sebelum lu beli. Gue nonton brazil u23 lawan maroc aja mereka terseok seok. Ga ada serem seremnya. Si macan ga bisa bikin goal yg ada dikantongin si chadi!! Inget gue dia kena tackle duluan belum juga masuk kotak","1790004074730963368","","","in","Neo Zone","0","0","0","https://twitter.com/alejandro3alde/status/1790004074730963368","1169878391979311104","alejandro3alde"
"1790000206513070254","Mon May 13 12:44:40 +0000 2024","0","Lawan timnas u23 juga kalah ini mah. ","1790000206513070254","","","in","Prapatan Somalia Ngiri Dikit","0","0","0","https://twitter.com/BR19_/status/1790000206513070254","881458380","BR19_"
"1789996463243587627","Mon May 13 12:29:48 +0000 2024","0","Buat negara yang belom menangin ini piala terlalu sombong kalo bilang ini ga penting. Juara dulu sekali abis itu selanjutnya pake u23 aja","1789996463243587627","","","in","","0","1","2","https://twitter.com/dhikaritoo/status/1789996463243587627","1438405472701190150","dhikaritoo"
"1789994174395068613","Mon May 13 12:20:42 +0000 2024","0","anjay ternyata yg otw paris bukan timnas u23 ","1789994174395068613","","","in","","0","0","0","https://twitter.com/tjacing/status/1789994174395068613","1223179595228180480","tjacing"
"1789478824310354371","Mon May 13 11:58:13 +0000 2024","0","@Mayrein2 Semoga terbalaskan di pildun nanti &amp; 4 tahun kemudian bs lolos olimpiade &amp; juara baik piala asia senior / u23. Aamiin","1789988518271332712","","Mayrein2","in","","0","0","0","https://twitter.com/yede19042/status/1789988518271332712","1660892320177455105","yede19042"
"1789973177323684272","Mon May 13 11:48:11 +0000 2024","0","@labiebsadat Kalo boleh saran pemain full lokal liga 1 dan sebagian besar skuad u23 piala asia kemarin dan abroad liga asia khususnya asean seperti saddil asnawi arhan ji dayat boleh dicoba tuh","1789985993451249696","","labiebsadat","in","","0","0","0","https://twitter.com/Ilham_491/status/1789985993451249696","1207848126343565313","Ilham_491"
"1789979652578009098","Mon May 13 11:47:51 +0000 2024","0","@vixhd @InfosuporterID bener kasih pemain yg main di liga lokal dan jarang dapat bermain di timnas senior atau u23. biar nambah jam terbang international ","1789985906343965004","","vixhd","in","","0","0","0","https://twitter.com/yangpentingasyi/status/1789985906343965004","1250311766568914944","yangpentingasyi"
"1789980239281475623","Mon May 13 11:25:19 +0000 2024","0","Keputusan Gila Ketum PSSI Erick Membuat Semua Terkejut! Meskipun Kalah Timnas Indonesia U23 Bawa Kabar Baik https://t.co/sbJXlorUxf","1789980239281475623","","","in","","0","0","0","https://twitter.com/Jablekenko/status/1789980239281475623","1627091638215643137","Jablekenko"
"1789928071333867897","Mon May 13 11:15:08 +0000 2024","0","@idextratime sebenernya gak ada yang aneh sih kemarin aja pemain afc u23 yang dipanggil pemain keturunan semua contoh - tjoe a on hubner keturunan rotterdam - komang keturunan bali - marselino keturunan medan - stroyer keturunan biak jadi stop bilang pemain keturunan lah netizen terhormat","1789977676368797755","","idextratime","in","","0","0","0","https://twitter.com/KingCrot/status/1789977676368797755","2886478044","KingCrot"
"1789928071333867897","Mon May 13 11:14:15 +0000 2024","0","@idextratime Semoga jadi bekal yg baik untuk generasi u23 di piala asia 2026 nnt ","1789977450878792074","","idextratime","in","EXO PLANET 📍| ANTI SOLO STAN","0","0","0","https://twitter.com/sec_retmine/status/1789977450878792074","2240276701","sec_retmine"
